2/5/2019 5:27:32 PM, 10, 5, T1
2/5/2019 5:28:27 PM, 15, 7, T2
2/5/2019 5:29:34 PM, 25, 20, T3
2/5/2019 5:30:04 PM, 1, 4, T1
2/5/2019 5:31:20 PM, 1, 23, T2
2/5/2019 5:33:11 PM, 1, 13, T3
2/5/2019 5:33:54 PM, 6, 7, T1
2/5/2019 5:34:19 PM, 15, 13, T2
2/5/2019 5:34:58 PM, 14, 29, T3
2/5/2019 5:36:02 PM, 59, 19, T1
2/5/2019 5:36:24 PM, 12, 33, T2
2/5/2019 5:37:09 PM, 17, 44, T3
2/5/2019 5:37:52 PM, 10, 17, T1
2/5/2019 5:38:26 PM, 33, 19, T2
2/5/2019 5:39:08 PM, 43, 8, T3
2/5/2019 5:39:48 PM, 2, 10, T1
2/5/2019 5:40:31 PM, 1, 91, T2
2/5/2019 5:41:18 PM, 32, 31, T3
2/5/2019 5:42:05 PM, 31, 20, T1
2/5/2019 5:43:11 PM, 33, 30, T2
2/5/2019 5:44:28 PM, 100, 102, T3
2/5/2019 5:45:12 PM, 34, 10, T1
2/5/2019 5:46:04 PM, 44, 11, T2
2/5/2019 5:46:49 PM, 90, 32, T3
2/5/2019 5:47:32 PM, 1, 20, T1
2/5/2019 5:48:29 PM, 18, 32, T2
2/5/2019 5:49:09 PM, 14, 42, T3
2/5/2019 5:49:44 PM, 22, 31, T1
2/5/2019 5:50:30 PM, 19, 21, T2
2/5/2019 5:51:16 PM, 10, 32, T3
2/5/2019 5:52:21 PM, 1, 3, T1
2/5/2019 5:53:28 PM, 2, 3, T2
2/5/2019 5:54:40 PM, 3, 3, T5
2/5/2019 5:55:45 PM, 4, 3, T1
2/5/2019 5:56:55 PM, 5, 3, T2
2/5/2019 5:57:10 PM, 6, 3, T3
2/5/2019 5:58:15 PM, 7, 3, T1
2/5/2019 5:59:20 PM, 8, 3, T2
2/5/2019 6:00:25 PM, 9, 3, T5
2/5/2019 6:00:50 PM, 10, 3, T4
